date,energy
2021-02-02,138.007
2021-02-03,163.822
2021-02-04,39.444
2021-02-05,139.998
2021-02-06,97.172
2021-02-07,43.739999999999995
2021-02-08,68.579
2021-02-09,72.28099999999999
2021-02-10,123.162
2021-02-11,120.298
2021-02-12,79.28399999999999
2021-02-13,141.063
2021-02-14,120.455
2021-02-15,120.335
2021-02-16,98.72800000000001
2021-02-17,147.13600000000002
2021-02-18,91.60600000000001
2021-02-19,112.73
2021-02-20,161.052
2021-02-21,170.79500000000002
2021-02-22,80.839
2021-02-23,184.105
2021-02-24,134.542
2021-02-25,107.761
2021-02-26,163.943
2021-02-27,167.708
2021-02-28,125.064
2021-03-01,127.987
2021-03-02,187.0
2021-03-03,211.019
2021-03-04,67.343
2021-03-05,96.81700000000001
2021-03-06,173.672
2021-03-07,133.374
2021-03-08,101.44
2021-03-09,119.901
2021-03-10,224.379
2021-03-11,138.874
2021-03-12,46.784
2021-03-13,25.689
2021-03-14,20.485500000000002
2021-03-15,15.282
2021-03-16,125.33
2021-03-17,90.689
2021-03-18,188.13600000000002
2021-03-19,166.575
2021-03-20,204.36700000000002
2021-03-21,98.492
2021-03-22,38.932
2021-03-23,171.756
2021-03-24,64.562
2021-03-25,158.78
2021-03-26,68.83
2021-03-27,253.115
2021-03-28,231.142
2021-03-29,220.173
2021-03-30,91.698
2021-03-31,200.249
2021-04-01,231.031
2021-04-02,179.7
2021-04-03,186.794
2021-04-04,215.912
2021-04-05,218.00900000000001
2021-04-06,158.676
2021-04-07,346.169
2021-04-08,173.45600000000002
2021-04-09,155.227
2021-04-10,264.246
2021-04-11,229.554
2021-04-12,30.621
2021-04-13,133.893
2021-04-14,79.854
2021-04-15,107.956
2021-04-16,131.239
2021-04-17,180.947
2021-04-18,196.811
2021-04-19,91.009
2021-04-20,137.189
2021-04-21,161.516
2021-04-22,174.071
2021-04-23,209.614
2021-04-24,233.369
2021-04-25,220.503
2021-04-26,62.951
2021-04-27,82.449
2021-04-28,150.991
2021-04-29,155.919
